,index,TimeEDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,dt
30,30,10:00 AM,78.8,48.2,34,30.1,10,ENE,10.4,17.3,,,Clear,60,01-06-2016 14:35
31,31,10:35 AM,80.6,48.2,32,30.1,10,ENE,9.2,-,,,Clear,60,01-06-2016 14:55
32,32,10:55 AM,78.8,48.2,34,30.1,10,ENE,10.4,-,,,Clear,60,01-06-2016 15:00
33,33,11:00 AM,80.6,48.2,32,30.09,10,NE,11.5,-,,,Clear,50,01-06-2016 15:35
34,34,11:35 AM,80.6,46.4,30,30.1,10,NNE,11.5,-,,,Clear,30,01-06-2016 15:55
35,35,11:55 AM,82.4,46.4,28,30.09,10,NE,11.5,20.7,,,Clear,50,01-06-2016 16:00
36,36,12:00 PM,82.4,46.4,28,30.09,10,NE,10.4,16.1,,,Clear,40,01-06-2016 16:35
37,37,12:35 PM,82.4,48.2,30,30.09,10,NE,9.2,17.3,,,Clear,50,01-06-2016 16:55
38,38,12:55 PM,82.4,50,32,30.09,10,NE,9.2,-,,,Clear,50,01-06-2016 17:00
39,39,1:00 PM,82.4,51.8,35,30.1,10,Calm,Calm,-,,,Clear,0,01-06-2016 17:35
40,40,1:35 PM,80.6,57.2,45,30.1,10,West,6.9,-,,,Clear,260,01-06-2016 17:55
41,41,1:55 PM,78.8,57.2,47,30.1,10,West,5.8,-,,,Clear,270,01-06-2016 18:00
42,42,2:00 PM,80.6,57.2,45,30.1,10,WSW,5.8,-,,,Clear,240,01-06-2016 18:35
43,43,2:35 PM,80.6,59,48,30.1,10,West,8.1,-,,,Scattered Clouds,280,01-06-2016 18:55
44,44,2:55 PM,80.6,55.4,42,30.1,10,SSW,3.5,18.4,,,Partly Cloudy,200,01-06-2016 19:00
45,45,3:00 PM,82.4,53.6,37,30.09,10,SSE,10.4,-,,,Clear,150,01-06-2016 19:35
46,46,3:35 PM,80.6,51.8,37,30.1,10,SSE,10.4,-,,,Clear,150,01-06-2016 19:55
47,47,3:55 PM,80.6,53.6,39,30.1,10,SE,6.9,-,,,Clear,130,01-06-2016 20:00
48,48,4:00 PM,80.6,51.8,37,30.1,10,East,3.5,16.1,,,Scattered Clouds,100,01-06-2016 20:35
49,49,4:35 PM,80.6,55.4,42,30.1,10,East,6.9,-,,,Partly Cloudy,90,01-06-2016 20:55
50,50,4:55 PM,80.6,55.4,42,30.09,10,ESE,9.2,-,,,Clear,120,01-06-2016 21:00
51,51,5:00 PM,78.8,55.4,44,30.1,10,ENE,6.9,-,,,Clear,70,01-06-2016 21:35
52,52,5:35 PM,78.8,57.2,47,30.1,10,SE,9.2,17.3,,,Clear,140,01-06-2016 21:55
53,53,5:55 PM,78.8,55.4,44,30.1,10,East,5.8,26.5,,,Clear,100,01-06-2016 22:00
54,54,6:00 PM,78.8,55.4,44,30.1,10,East,8.1,-,,,Clear,90,01-06-2016 22:35
55,55,6:35 PM,75.2,55.4,50,30.1,10,ENE,9.2,-,,,Clear,70,01-06-2016 22:55
56,56,6:55 PM,75.2,57.2,53,30.11,10,ESE,6.9,-,,,Clear,110,01-06-2016 23:00
57,57,7:00 PM,73.4,57.2,57,30.12,10,East,8.1,-,,,Clear,100,01-06-2016 23:35
58,58,7:35 PM,71.6,57.2,60,30.12,10,East,8.1,16.1,,,Clear,90,01-06-2016 23:55
59,59,7:55 PM,69.8,57.2,64,30.12,10,East,9.2,-,,,Clear,80,02-06-2016 00:00
60,60,8:00 PM,69.8,57.2,64,30.12,10,East,8.1,-,,,Clear,80,02-06-2016 00:35
61,61,8:35 PM,69.8,57.2,64,30.12,10,ESE,8.1,17.3,,,Clear,110,02-06-2016 00:55
62,62,8:55 PM,69.8,57.2,64,30.13,10,ENE,9.2,-,,,Clear,70,02-06-2016 01:00
63,63,9:00 PM,69.8,55.4,60,30.13,10,East,6.9,-,,,Clear,90,02-06-2016 01:35
64,64,9:35 PM,69.8,55.4,60,30.14,10,ENE,8.1,-,,,Clear,70,02-06-2016 01:55
65,65,9:55 PM,69.8,55.4,60,30.14,10,NE,10.4,-,,,Clear,50,02-06-2016 02:00
66,66,10:00 PM,68,57.2,68,30.14,10,ENE,8.1,-,,,Clear,60,02-06-2016 02:35
67,67,10:35 PM,68,57.2,68,30.15,10,NE,10.4,-,,,Clear,40,02-06-2016 02:55
68,68,10:55 PM,68,57.2,68,30.15,10,NE,10.4,-,,,Clear,50,02-06-2016 03:00
69,69,11:00 PM,66.2,57.2,73,30.15,10,NE,9.2,-,,,Clear,40,02-06-2016 03:35
70,70,11:35 PM,66.2,57.2,73,30.15,10,ENE,11.5,-,,,Clear,60,02-06-2016 03:55
71,71,11:55 PM,66.2,57.2,73,30.15,10,NE,11.5,-,,,Clear,50,02-06-2016 04:00
72,0,12:00 AM,66.2,57.2,73,30.15,10,NE,12.7,-,,,Clear,50,02-06-2016 04:35
73,1,12:35 AM,66.2,57.2,73,30.16,10,ENE,11.5,-,,,Clear,60,02-06-2016 04:55
74,2,12:55 AM,66.2,57.2,73,30.15,10,ENE,11.5,-,,,Clear,60,02-06-2016 05:00
75,3,1:00 AM,66.2,55.4,68,30.15,10,NE,11.5,-,,,Clear,50,02-06-2016 05:35
76,4,1:35 AM,66.2,55.4,68,30.15,10,NE,10.4,-,,,Clear,50,02-06-2016 05:55
77,5,1:55 AM,66.2,55.4,68,30.15,10,NE,10.4,-,,,Clear,40,02-06-2016 06:00
78,6,2:00 AM,66.2,55.4,68,30.15,10,NE,10.4,-,,,Clear,50,02-06-2016 06:35
79,7,2:35 AM,64.4,57.2,77,30.15,10,NNE,6.9,-,,,Clear,30,02-06-2016 06:55
80,8,2:55 AM,64.4,57.2,77,30.14,10,NE,9.2,-,,,Clear,40,02-06-2016 07:00
81,9,3:00 AM,64.4,57.2,77,30.14,10,NE,11.5,-,,,Clear,40,02-06-2016 07:35
82,10,3:35 AM,64.4,57.2,77,30.14,10,NNE,11.5,-,,,Clear,30,02-06-2016 07:55
83,11,3:55 AM,64.4,59,83,30.13,10,NE,11.5,-,,,Clear,40,02-06-2016 08:00
84,12,4:00 AM,64.4,59,83,30.13,10,NE,10.4,-,,,Clear,40,02-06-2016 08:35
85,13,4:35 AM,64.4,59,83,30.13,10,NE,10.4,-,,,Clear,50,02-06-2016 08:55
86,14,4:55 AM,62.6,59,88,30.13,10,NE,9.2,-,,,Clear,40,02-06-2016 09:00
87,15,5:00 AM,62.6,57.2,82,30.13,10,NE,9.2,-,,,Clear,40,02-06-2016 09:35
88,16,5:35 AM,62.6,59,88,30.14,10,NE,8.1,-,,,Partly Cloudy,50,02-06-2016 09:55
89,17,5:55 AM,62.6,59,88,30.14,10,ENE,8.1,-,,,Mostly Cloudy,60,02-06-2016 10:00
90,18,6:00 AM,62.6,59,88,30.15,10,ENE,8.1,-,,,Overcast,60,02-06-2016 10:35
91,19,6:35 AM,62.6,59,88,30.16,10,NE,6.9,-,,,Overcast,50,02-06-2016 10:55
92,20,6:55 AM,62.6,59,88,30.16,10,ENE,6.9,-,,,Overcast,70,02-06-2016 11:00
93,21,7:00 AM,64.4,59,83,30.16,10,ENE,6.9,-,,,Mostly Cloudy,60,02-06-2016 11:35
94,22,7:35 AM,64.4,59,83,30.16,10,East,6.9,-,,,Partly Cloudy,80,02-06-2016 11:55
95,23,7:55 AM,64.4,60.8,88,30.15,9,ENE,8.1,-,,,Clear,70,02-06-2016 12:00
96,24,8:00 AM,64.4,60.8,88,30.16,10,ENE,8.1,-,,,Clear,70,02-06-2016 12:35
97,25,8:35 AM,64.4,60.8,88,30.16,10,ENE,9.2,-,,,Clear,60,02-06-2016 12:55
98,26,8:55 AM,66.2,60.8,83,30.16,10,ENE,6.9,-,,,Clear,70,02-06-2016 13:00
99,27,9:00 AM,66.2,60.8,83,30.16,10,ENE,8.1,-,,,Clear,60,02-06-2016 13:35
100,28,9:35 AM,69.8,60.8,73,30.16,10,ENE,6.9,-,,,Clear,60,02-06-2016 13:55
101,29,9:55 AM,69.8,60.8,73,30.16,10,NE,5.8,-,,,Clear,50,02-06-2016 14:00
102,30,10:00 AM,71.6,60.8,69,30.16,10,NE,6.9,-,,,Clear,40,02-06-2016 14:35
103,31,10:35 AM,71.6,60.8,69,30.16,10,NNE,6.9,-,,,Clear,30,02-06-2016 14:55
104,32,10:55 AM,71.6,60.8,69,30.16,9,WSW,5.8,-,,,Clear,250,02-06-2016 15:00
105,33,11:00 AM,71.6,60.8,69,30.16,10,SSW,8.1,-,,,Clear,200,02-06-2016 15:35
106,34,11:35 AM,69.8,60.8,73,30.16,10,West,6.9,-,,,Clear,270,02-06-2016 15:55
107,35,11:55 AM,73.4,60.8,65,30.14,8,Calm,Calm,-,,,Clear,0,02-06-2016 16:00
108,36,12:00 PM,73.4,60.8,65,30.14,10,East,4.6,-,,,Clear,100,02-06-2016 16:35
109,37,12:35 PM,73.4,60.8,65,30.14,10,SE,5.8,-,,,Clear,140,02-06-2016 16:55
110,38,12:55 PM,73.4,60.8,65,30.14,10,South,3.5,-,,,Clear,170,02-06-2016 17:00
111,39,1:00 PM,73.4,60.8,65,30.14,10,SSE,5.8,-,,,Clear,150,02-06-2016 17:35
112,40,1:35 PM,73.4,62.6,69,30.13,10,SSE,6.9,-,,,Clear,160,02-06-2016 17:55
113,41,1:55 PM,73.4,62.6,69,30.13,10,South,8.1,-,,,Clear,170,02-06-2016 18:00
114,42,2:00 PM,73.4,60.8,65,30.13,10,SSE,9.2,-,,,Clear,160,02-06-2016 18:35
115,43,2:35 PM,73.4,60.8,65,30.12,10,South,10.4,-,,,Clear,170,02-06-2016 18:55
116,44,2:55 PM,73.4,60.8,65,30.12,10,SSE,11.5,-,,,Clear,160,02-06-2016 19:00
117,45,3:00 PM,73.4,60.8,65,30.11,10,SSE,9.2,-,,,Clear,160,02-06-2016 19:35
118,46,3:35 PM,73.4,60.8,65,30.11,10,SSE,8.1,-,,,Clear,160,02-06-2016 19:55
119,47,3:55 PM,73.4,60.8,65,30.1,10,SE,10.4,-,,,Clear,140,02-06-2016 20:00
120,48,4:00 PM,73.4,60.8,65,30.1,9,SE,4.6,-,,,Clear,130,02-06-2016 20:35
121,49,4:35 PM,71.6,60.8,69,30.1,9,SSE,8.1,-,,,Clear,160,02-06-2016 20:55
122,50,4:55 PM,73.4,60.8,65,30.09,10,SSE,10.4,-,,,Clear,160,02-06-2016 21:00
123,51,5:00 PM,71.6,60.8,69,30.09,10,SSE,8.1,-,,,Clear,150,02-06-2016 21:35
124,52,5:35 PM,71.6,62.6,73,30.09,10,SSE,8.1,-,,,Clear,160,02-06-2016 21:55
125,53,5:55 PM,69.8,62.6,78,30.09,10,SSE,6.9,-,,,Scattered Clouds,150,02-06-2016 22:00
126,54,6:00 PM,69.8,62.6,78,30.08,8,SSE,6.9,-,,,Scattered Clouds,160,02-06-2016 22:35
127,55,6:35 PM,69.8,62.6,78,30.09,10,South,9.2,-,,,Mostly Cloudy,170,02-06-2016 22:55
128,56,6:55 PM,66.2,62.6,88,30.09,10,South,9.2,-,,,Overcast,170,02-06-2016 23:00
129,57,7:00 PM,66.2,62.6,88,30.09,10,SSE,8.1,-,,,Overcast,150,02-06-2016 23:35
130,58,7:35 PM,66.2,62.6,88,30.09,10,SE,6.9,-,,,Overcast,130,02-06-2016 23:55
131,59,7:55 PM,64.4,62.6,94,30.09,10,South,9.2,-,,,Overcast,170,03-06-2016 00:00
132,60,8:00 PM,64.4,60.8,88,30.09,10,East,6.9,-,,,Overcast,90,03-06-2016 00:35
133,61,8:35 PM,64.4,60.8,88,30.09,10,ESE,5.8,-,,,Overcast,110,03-06-2016 00:55
134,62,8:55 PM,64.4,60.8,88,30.1,10,ESE,5.8,-,,,Overcast,110,03-06-2016 01:00
135,63,9:00 PM,64.4,62.6,94,30.1,10,Calm,Calm,-,,,Overcast,0,03-06-2016 01:35
136,64,9:35 PM,64.4,62.6,94,30.1,10,ENE,6.9,-,,,Overcast,70,03-06-2016 01:55
137,65,9:55 PM,64.4,62.6,94,30.1,10,East,5.8,-,,,Overcast,90,03-06-2016 02:00
138,66,10:00 PM,64.4,62.6,94,30.1,10,ENE,8.1,-,,,Overcast,60,03-06-2016 02:35
139,67,10:35 PM,64.4,62.6,94,30.1,10,ESE,3.5,-,,,Overcast,120,03-06-2016 02:55
140,68,10:55 PM,64.4,62.6,94,30.1,10,East,3.5,-,,,Overcast,90,03-06-2016 03:00
141,69,11:00 PM,64.4,62.6,94,30.11,10,SE,4.6,-,,,Overcast,130,03-06-2016 03:35
142,70,11:35 PM,64.4,62.6,94,30.11,10,ENE,4.6,-,,,Overcast,60,03-06-2016 03:55
143,71,11:55 PM,64.4,60.8,88,30.11,10,ENE,5.8,-,,,Overcast,70,03-06-2016 04:00
144,0,12:00 AM,64.4,60.8,88,30.11,10,East,4.6,-,,,Overcast,90,03-06-2016 04:35
145,1,12:35 AM,64.4,60.8,88,30.11,10,SE,6.9,-,,,Overcast,140,03-06-2016 04:55
146,2,12:55 AM,64.4,60.8,88,30.11,10,East,3.5,-,,,Overcast,90,03-06-2016 05:00
147,3,1:00 AM,64.4,60.8,88,30.1,10,ENE,3.5,-,,,Overcast,70,03-06-2016 05:35
148,4,1:35 AM,64.4,60.8,88,30.1,10,ENE,3.5,-,,,Overcast,60,03-06-2016 05:55
149,5,1:55 AM,64.4,60.8,88,30.09,10,East,3.5,-,,,Overcast,100,03-06-2016 06:00
150,6,2:00 AM,64.4,60.8,88,30.09,10,SSE,3.5,-,,,Overcast,160,03-06-2016 06:35
151,7,2:35 AM,64.4,60.8,88,30.08,10,Calm,Calm,-,,,Overcast,0,03-06-2016 06:55
152,8,2:55 AM,64.4,60.8,88,30.08,10,Calm,Calm,-,,,Overcast,0,03-06-2016 07:00
153,9,3:00 AM,64.4,60.8,88,30.07,10,Calm,Calm,-,,,Overcast,0,03-06-2016 07:35
154,10,3:35 AM,64.4,60.8,88,30.07,10,Calm,Calm,-,,,Overcast,0,03-06-2016 07:55
155,11,3:55 AM,64.4,60.8,88,30.07,10,West,3.5,-,,,Overcast,280,03-06-2016 08:00
156,12,4:00 AM,64.4,62.6,94,30.07,10,West,3.5,-,,,Overcast,280,03-06-2016 08:35
157,13,4:35 AM,64.4,62.6,94,30.07,10,West,3.5,-,,,Overcast,280,03-06-2016 08:55
158,14,4:55 AM,64.4,62.6,94,30.07,10,West,4.6,-,,,Overcast,270,03-06-2016 09:00
159,15,5:00 AM,64.4,62.6,94,30.07,10,Calm,Calm,-,,,Overcast,0,03-06-2016 09:35
160,16,5:35 AM,64.4,62.6,94,30.07,10,Calm,Calm,-,,,Overcast,0,03-06-2016 09:55
161,17,5:55 AM,64.4,62.6,94,30.07,10,South,4.6,-,,,Overcast,170,03-06-2016 10:00
162,18,6:00 AM,64.4,60.8,88,30.07,10,SSE,3.5,-,,,Overcast,160,03-06-2016 10:35
163,19,6:35 AM,64.4,62.6,94,30.07,10,South,3.5,-,,,Overcast,180,03-06-2016 10:55
164,20,6:55 AM,64.4,62.6,94,30.08,10,Calm,Calm,-,,,Overcast,0,03-06-2016 11:00
165,21,7:00 AM,64.4,62.6,94,30.08,10,Calm,Calm,-,,,Overcast,0,03-06-2016 11:35
166,22,7:35 AM,64.4,62.6,94,30.08,10,NE,3.5,-,,,Overcast,50,03-06-2016 11:55
167,23,7:55 AM,66.2,62.6,88,30.07,10,NE,5.8,-,,,Overcast,50,03-06-2016 12:00
168,24,8:00 AM,66.2,62.6,88,30.08,7,NE,4.6,-,,,Overcast,50,03-06-2016 12:35
169,25,8:35 AM,66.2,62.6,88,30.08,6,NE,3.5,-,0.01,,Overcast,50,03-06-2016 12:55
170,26,8:55 AM,64.4,62.6,94,30.08,6,SE,3.5,-,0.02,,Overcast,130,03-06-2016 13:00
171,27,9:00 AM,64.4,62.6,94,30.08,7,South,4.6,-,,,Overcast,180,03-06-2016 13:35
172,28,9:35 AM,64.4,62.6,94,30.08,8,South,5.8,-,,,Overcast,180,03-06-2016 13:55
173,29,9:55 AM,64.4,62.6,94,30.08,10,SSE,3.5,-,0.01,,Overcast,150,03-06-2016 14:00
174,30,10:00 AM,66.2,62.6,88,30.08,10,SSE,4.6,-,,,Overcast,160,03-06-2016 14:35
175,31,10:35 AM,66.2,62.6,88,30.08,10,Calm,Calm,-,,,Overcast,0,03-06-2016 14:55
176,32,10:55 AM,66.2,62.6,88,30.08,8,South,3.5,-,,,Overcast,180,03-06-2016 15:00
177,33,11:00 AM,66.2,62.6,88,30.08,10,SSE,4.6,-,,,Overcast,160,03-06-2016 15:35
178,34,11:35 AM,66.2,62.6,88,30.09,9,SW,4.6,-,,,Overcast,220,03-06-2016 15:55
179,35,11:55 AM,64.4,62.6,94,30.08,9,WSW,4.6,-,,,Overcast,250,03-06-2016 16:00
180,36,12:00 PM,64.4,62.6,94,30.08,10,West,4.6,-,,,Overcast,260,03-06-2016 16:35
181,37,12:35 PM,66.2,62.6,88,30.08,9,West,6.9,-,,,Overcast,270,03-06-2016 16:55
182,38,12:55 PM,66.2,62.6,88,30.07,7,West,4.6,-,,,Overcast,260,03-06-2016 17:00
183,39,1:00 PM,66.2,62.6,88,30.08,10,West,6.9,-,,,Overcast,270,03-06-2016 17:35
184,40,1:35 PM,66.2,62.6,88,30.07,10,West,6.9,-,,,Overcast,270,03-06-2016 17:55
185,41,1:55 PM,66.2,62.6,88,30.07,10,West,4.6,-,,,Overcast,270,03-06-2016 18:00
186,42,2:00 PM,66.2,62.6,88,30.07,10,West,5.8,-,,,Overcast,270,03-06-2016 18:35
187,43,2:35 PM,66.2,62.6,88,30.06,10,SW,3.5,-,,,Mostly Cloudy,220,03-06-2016 18:55
188,44,2:55 PM,68,62.6,83,30.05,9,SSE,4.6,-,,,Mostly Cloudy,160,03-06-2016 19:00
189,45,3:00 PM,66.2,62.6,88,30.05,10,Calm,Calm,-,,,Overcast,0,03-06-2016 19:35
190,46,3:35 PM,68,62.6,83,30.06,10,West,4.6,-,,,Overcast,270,03-06-2016 19:55
191,47,3:55 PM,66.2,62.6,88,30.05,10,West,4.6,-,,,Overcast,270,03-06-2016 20:00
192,48,4:00 PM,66.2,62.6,88,30.05,10,West,5.8,-,,,Overcast,270,03-06-2016 20:35
193,49,4:35 PM,66.2,62.6,88,30.04,10,West,4.6,-,,,Overcast,270,03-06-2016 20:55
194,50,4:55 PM,69.8,62.6,78,30.04,10,West,5.8,-,,,Overcast,270,03-06-2016 21:00
195,51,5:00 PM,68,62.6,83,30.04,10,West,5.8,-,,,Overcast,270,03-06-2016 21:35
196,52,5:35 PM,68,62.6,83,30.04,10,West,4.6,-,,,Overcast,280,03-06-2016 21:55
197,53,5:55 PM,68,62.6,83,30.03,10,SW,3.5,-,,,Scattered Clouds,230,03-06-2016 22:00
198,54,6:00 PM,68,62.6,83,30.04,9,West,3.5,-,,,Clear,270,03-06-2016 22:35
199,55,6:35 PM,68,62.6,83,30.04,9,Calm,Calm,-,,,Mostly Cloudy,0,03-06-2016 22:55
200,56,6:55 PM,66.2,62.6,88,30.04,10,Calm,Calm,-,,,Overcast,0,03-06-2016 23:00
201,57,7:00 PM,66.2,62.6,88,30.04,10,West,3.5,-,,,Overcast,260,03-06-2016 23:35
202,58,7:35 PM,66.2,62.6,88,30.04,10,West,3.5,-,,,Overcast,280,03-06-2016 23:55
203,59,7:55 PM,66.2,62.6,88,30.04,10,West,3.5,-,,,Overcast,280,04-06-2016 00:00
204,60,8:00 PM,66.2,62.6,88,30.04,10,West,3.5,-,,,Overcast,280,04-06-2016 00:35
205,61,8:35 PM,66.2,62.6,88,30.04,10,West,3.5,-,,,Overcast,260,04-06-2016 00:55
206,62,8:55 PM,66.2,62.6,88,30.03,10,Calm,Calm,-,,,Overcast,0,04-06-2016 01:00
207,63,9:00 PM,66.2,62.6,88,30.03,10,Calm,Calm,-,,,Overcast,0,04-06-2016 01:35
208,64,9:35 PM,66.2,62.6,88,30.04,10,SSW,4.6,-,,,Overcast,210,04-06-2016 01:55
209,65,9:55 PM,64.4,62.6,94,30.04,10,Calm,Calm,-,,,Overcast,0,04-06-2016 02:00
210,66,10:00 PM,64.4,62.6,94,30.05,10,Calm,Calm,-,,,Overcast,0,04-06-2016 02:35
211,67,10:35 PM,66.2,62.6,88,30.05,10,Calm,Calm,-,,,Overcast,0,04-06-2016 02:55
212,68,10:55 PM,64.4,62.6,94,30.06,10,Calm,Calm,-,,,Overcast,0,04-06-2016 03:00
213,69,11:00 PM,64.4,62.6,94,30.06,10,Calm,Calm,-,,,Overcast,0,04-06-2016 03:35
214,70,11:35 PM,64.4,62.6,94,30.06,10,Calm,Calm,-,,,Overcast,0,04-06-2016 03:55
215,71,11:55 PM,64.4,62.6,94,30.06,10,Calm,Calm,-,,,Overcast,0,04-06-2016 04:00
216,0,12:00 AM,64.4,62.6,94,30.06,10,Calm,Calm,-,,,Overcast,0,04-06-2016 04:35
217,1,12:35 AM,64.4,62.6,94,30.05,10,Calm,Calm,-,,,Overcast,0,04-06-2016 04:55
218,2,12:55 AM,66.2,62.6,88,30.05,10,Calm,Calm,-,,,Overcast,0,04-06-2016 05:00
219,3,1:00 AM,64.4,62.6,94,30.04,10,Calm,Calm,-,,,Overcast,0,04-06-2016 05:35
220,4,1:35 AM,64.4,62.6,94,30.04,10,West,3.5,-,,,Overcast,270,04-06-2016 05:55
221,5,1:55 AM,64.4,62.6,94,30.04,10,Calm,Calm,-,,,Overcast,0,04-06-2016 06:00
222,6,2:00 AM,64.4,62.6,94,30.03,10,Calm,Calm,-,,,Overcast,0,04-06-2016 06:35
223,7,2:35 AM,64.4,62.6,94,30.03,10,Calm,Calm,-,,,Overcast,0,04-06-2016 06:55
224,8,2:55 AM,64.4,62.6,94,30.02,10,Calm,Calm,-,,,Overcast,0,04-06-2016 07:00
225,9,3:00 AM,64.4,62.6,94,30.03,10,Calm,Calm,-,,,Overcast,0,04-06-2016 07:35
226,10,3:35 AM,66.2,62.6,88,30.03,10,West,3.5,-,,,Overcast,260,04-06-2016 07:55
227,11,3:55 AM,66.2,62.6,88,30.02,10,WSW,4.6,-,,,Overcast,240,04-06-2016 08:00
228,12,4:00 AM,64.4,62.6,94,30.02,10,WSW,3.5,-,,,Overcast,240,04-06-2016 08:35
229,13,4:35 AM,64.4,62.6,94,30.02,10,Calm,Calm,-,,,Overcast,0,04-06-2016 08:55
230,14,4:55 AM,66.2,62.6,88,30.02,10,Calm,Calm,-,,,Overcast,0,04-06-2016 09:00
231,15,5:00 AM,66.2,62.6,88,30.02,10,Calm,Calm,-,,,Overcast,0,04-06-2016 09:35
232,16,5:35 AM,66.2,62.6,88,30.02,10,Calm,Calm,-,,,Overcast,0,04-06-2016 09:55
233,17,5:55 AM,66.2,64.4,94,30.03,10,Calm,Calm,-,,,Overcast,0,04-06-2016 10:00
234,18,6:00 AM,66.2,64.4,94,30.03,10,Calm,Calm,-,,,Overcast,0,04-06-2016 10:35
235,19,6:35 AM,66.2,64.4,94,30.03,10,Calm,Calm,-,,,Overcast,0,04-06-2016 10:55
236,20,6:55 AM,66.2,64.4,94,30.03,10,Calm,Calm,-,,,Overcast,0,04-06-2016 11:00
237,21,7:00 AM,66.2,64.4,94,30.03,10,Calm,Calm,-,,,Mostly Cloudy,0,04-06-2016 11:35
238,22,7:35 AM,68,64.4,88,30.03,10,Calm,Calm,-,,,Overcast,0,04-06-2016 11:55
239,23,7:55 AM,68,64.4,88,30.03,9,WSW,3.5,-,,,Overcast,250,04-06-2016 12:00
240,24,8:00 AM,68,64.4,88,30.04,8,West,4.6,-,,,Mostly Cloudy,270,04-06-2016 12:35
241,25,8:35 AM,69.8,66.2,88,30.03,8,WSW,4.6,-,,,Partly Cloudy,250,04-06-2016 12:55
242,26,8:55 AM,69.8,66.2,88,30.03,8,WSW,4.6,-,,,Clear,240,04-06-2016 13:00
243,27,9:00 AM,69.8,66.2,88,30.03,7,SW,3.5,-,,,Clear,230,04-06-2016 13:35
244,28,9:35 AM,71.6,66.2,83,30.03,5,WSW,5.8,-,,,Mostly Cloudy,250,04-06-2016 13:55
